YEAR_MONTH,SIDO,TARGET_COUNT,RESTAURANT_DENSITY,VIOLATION_RATE,CPI_TOTAL,THI,RATE_SCORE,RATE_TREND,TREND_SCORE,CPI_PRESSURE_SCORE,HOTSPOT_REPEAT_COUNT_3M,HOTSPOT_REPEAT_SCORE,CLIMATE_CAUTION_FLAG,FSIPI,FSIPI_GRADE,TARGET
2025-10,경상남도,3.0,67454,0.0444747531651199,117.42,62.1988525681886,39.64194373401534,-0.21392479259991368,47.82608695652174,80.56265984654732,0.0,0.0,1,43.452685421994886,3등급·관찰,0
2025-11,전북특별자치도,2.0,31373,0.0637490836069231,117.2,49.88159018896363,51.790281329923275,-0.8068736733536092,17.391304347826086,76.21483375959079,0.0,0.0,0,43.39514066496164,3등급·관찰,0
2025-05,울산광역시,1.0,19964,0.0500901622921258,116.27,61.52183005617762,45.26854219948849,-0.35721174797996774,39.89769820971867,45.78005115089514,1.0,33.33333333333333,0,43.077578857630016,3등급·관찰,0
2025-12,제주특별자치도,1.0,24251,0.0412354129726609,117.57,41.42148908059404,37.59590792838875,-0.21152694959101265,48.08184143222506,84.91048593350384,0.0,0.0,0,43.0306905370844,3등급·관찰,0
2024-10,대구광역시,2.0,37976,0.0526648409521803,114.69,61.13916856106862,46.29156010230179,0.16288555009708006,66.24040920716112,28.388746803069054,0.0,0.0,0,42.96675191815857,3등급·관찰,0
2024-05,인천광역시,3.0,41726,0.0718976177922638,114.1,62.72419013774592,54.47570332480819,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,42.851662404092075,3등급·관찰,0
2025-07,울산광역시,1.0,19964,0.0500901622921258,116.52,77.75407159005208,45.26854219948849,-0.73535251328782,21.73913043478261,67.51918158567774,1.0,33.33333333333333,1,42.70673486786019,3등급·관찰,0
2025-11,경상남도,3.0,67454,0.0444747531651199,117.2,49.88159018896363,39.64194373401534,-0.26624741573602123,45.78005115089514,76.21483375959079,0.0,0.0,0,42.391304347826086,3등급·관찰,0
2025-03,제주특별자치도,1.0,24251,0.0412354129726609,116.29,48.30477583011704,37.59590792838875,0.3666320810403551,69.82097186700767,50.127877237851656,0.0,0.0,0,42.1611253196931,3등급·관찰,0
2024-08,경상북도,4.0,54980,0.0727537286285922,114.54,79.53516619543673,56.26598465473146,-0.3389929005201119,40.66496163682864,19.69309462915601,0.0,0.0,1,42.033248081841435,3등급·관찰,0
